task	pdfs	pages	sheets	callouts	details	error
intradrawing/cross-reference-resolution/usu-aspire-content-mismatch-civil-01	1	167	153	85	1685	
intradrawing/cross-reference-resolution/usu-aspire-content-mismatch-civil-02	1	167	153	85	1685	
intradrawing/cross-reference-resolution/usu-aspire-content-mismatch-structural-01	1	167	153	85	1685	
intradrawing/cross-reference-resolution/usu-aspire-content-mismatch-structural-02	1	167	153	85	1685	
intradrawing/cross-reference-resolution/usu-aspire-landscape-structural-01	1	167	153	85	1685	
intradrawing/cross-reference-resolution/usu-aspire-landscape-structural-02	1	167	153	85	1685	
intradrawing/cross-reference-resolution/usu-aspire-multi-discipline-01	1	167	153	85	1685	
intradrawing/cross-reference-resolution/usu-aspire-multi-discipline-02	1	167	153	85	1685	
intradrawing/cross-reference-resolution/usu-aspire-multi-discipline-03	1	167	153	85	1685	
intradrawing/cross-reference-resolution/usu-aspire-multi-discipline-04	1	167	153	85	1685	
intradrawing/cross-reference-resolution/wcu-general-coordination-01	1	79	57	16	148	
intradrawing/cross-reference-resolution/wcu-general-coordination-02	1	79	57	16	148	
intradrawing/cross-reference-resolution/wcu-general-coordination-03	1	79	57	16	148	
intradrawing/cross-reference-resolution/wcu-life-safety-01	1	79	57	16	148	
intradrawing/cross-reference-resolution/wcu-life-safety-02	1	79	57	16	148	
intradrawing/cross-reference-resolution/wenatchee-library-interior-01	1	48	25	9	101	
intradrawing/cross-reference-resolution/wenatchee-library-interior-02	1	48	25	9	101	
intradrawing/cross-reference-resolution/wenatchee-library-interior-03	1	48	25	9	101	
intradrawing/cross-reference-tracing/darr-2-a851-easy	1	40	21	30	137	
intradrawing/cross-reference-tracing/darr-3-a251-medium	1	40	21	30	137	
intradrawing/cross-reference-tracing/darr-6-a651-medium	1	40	21	30	137	
intradrawing/cross-reference-tracing/darr-7-a851-easy	1	40	21	30	137	
intradrawing/cross-reference-tracing/rees-2-s601-easy	1	58	32	54	191	
intradrawing/cross-reference-tracing/rees-6-a801-easy	1	58	32	54	191	
intradrawing/cross-reference-tracing/rees-9-a703-hard	1	58	32	54	191	
intradrawing/cross-reference-tracing/uccs-1-t921-easy	1	133	40	122	366	
intradrawing/cross-reference-tracing/uccs-3-t611-easy	1	133	40	122	366	
intradrawing/cross-reference-tracing/uccs-4-t711-hard	1	133	40	122	366	
intradrawing/cross-reference-tracing/usu-1-s230-easy	1	167	153	85	1685	
intradrawing/cross-reference-tracing/usu-10-s220-hard	1	167	153	85	1685	
intradrawing/cross-reference-tracing/usu-3-pl401-easy	1	167	153	85	1685	
intradrawing/cross-reference-tracing/usu-4-s210-hard	1	167	153	85	1685	
intradrawing/cross-reference-tracing/usu-b4-a541-medium	1	167	153	85	1685	
intradrawing/cross-reference-tracing/usu-e4-a551-hard	1	167	153	85	1685	
intradrawing/cross-reference-tracing/wcu-a1-a523-medium	1	79	57	16	148	
intradrawing/cross-reference-tracing/wcu-a8-a522-medium	1	79	57	16	148	
intradrawing/cross-reference-tracing/wcu-b1-a511-easy	1	79	57	16	148	
intradrawing/cross-reference-tracing/wcu-f1-a523-medium	1	79	57	16	148	
intradrawing/cross-reference-tracing/wcu-f8-a521-hard	1	79	57	16	148	
intradrawing/cross-reference-tracing/wpl-14-a702-medium	1	48	25	9	101	
intradrawing/cross-reference-tracing/wpl-17-a300-medium	1	48	25	9	101	
intradrawing/cross-reference-tracing/wpl-9-a300-easy	1	48	25	9	101	
intradrawing/sheet-index-consistency/1bb649-mechanical	1	22	22	1	114	
intradrawing/sheet-index-consistency/3908-bid-set-prints	1	6	6	0	14	
intradrawing/sheet-index-consistency/att-c-north-macon	1	43	23	27	158	
intradrawing/sheet-index-consistency/bidset-stadium	1	40	40	19	408	
intradrawing/sheet-index-consistency/broughton-meadow-habitat	1	8	0	0	31	
intradrawing/sheet-index-consistency/darrington-library	1	40	21	30	137	
intradrawing/sheet-index-consistency/gfiaa-expansion	1	68	32	49	541	
intradrawing/sheet-index-consistency/h59-chiller-replacement	1	11	8	0	24	
intradrawing/sheet-index-consistency/kenai-rec-center	1	22	14	0	68	
intradrawing/sheet-index-consistency/mechanical-set-2022	1	5	0	0	0	
intradrawing/sheet-index-consistency/rces-modular-bid	1	14	14	1	23	
intradrawing/sheet-index-consistency/reid-hall-permit-bid	1	20	20	3	191	
intradrawing/sheet-index-consistency/saluda-hall-generator	1	6	3	0	8	
intradrawing/sheet-index-consistency/sta-cooling-tower	1	14	14	7	55	
intraproject/spec-drawing-sync/nmacon-gypsum-board-easy	2	851	24	47	161	
intraproject/spec-drawing-sync/nmacon-hollow-metal-doors-medium	2	851	24	47	161	
intraproject/spec-drawing-sync/nmacon-panelboards-clean	2	851	24	47	161	
intraproject/spec-drawing-sync/nmacon-standing-seam-roof-hard	2	851	24	47	161	
intraproject/spec-drawing-sync/rees-gypsum-board-easy	2	1003	32	71	191	
intraproject/spec-drawing-sync/rees-hollow-metal-doors-medium	2	1003	32	71	191	
intraproject/spec-drawing-sync/rees-metal-roof-panels-hard	2	1003	32	71	191	
intraproject/spec-drawing-sync/rees-panelboards-clean	2	1003	32	71	191	
intraproject/spec-drawing-sync/uccs-gypsum-board-easy	2	1169	45	139	367	
intraproject/spec-drawing-sync/uccs-hollow-metal-doors-hard	2	1169	45	139	367	
intraproject/spec-drawing-sync/uccs-metal-ducts-clean	2	1169	45	139	367	
intraproject/spec-drawing-sync/uccs-panelboards-medium	2	1169	45	139	367	
intraproject/spec-drawing-sync/wcu-gypsum-board-clean	2	641	60	32	160	
intraproject/spec-drawing-sync/wcu-hollow-metal-doors-easy	2	641	60	32	160	
intraproject/spec-drawing-sync/wcu-storefronts-hard	2	641	60	32	160	
intraproject/spec-drawing-sync/wcu-unit-masonry-medium	2	641	60	32	160	
